기간,구분,계,아파트,연립주택,단독주택,노상,상점,숙박업소,목욕탕,우흥접객업소,사무실,역대합실,교통수단,유원지,학교,금융기관,기타
2016,살인,148,12,30,22,1,4,8,1, , ,2, ,1,67, , 
2016,강도,262,20,15,86,34,9,13,8, ,1,2, ,1,73, , 
2016,강간강제,6002,284,395,986,95,389,398,132,181,841,59,33,2,2207, , 
2016,절도,46857,1504,2246,9356,4403,828,2034,682,355,889,367,400,1081,22712, , 
2016,폭력,64570,2840,3580,24553,852,303,2645,1229,272,466,424,203,42,27161, , 
2017,살인,142,21,25,27,1,5,10,5, ,1,1, , ,46, , 
2017,강도,169,20,11,43,22,8,5,5,1, ,1, ,3,50, , 
2017,강간강제,6963,319,413,1061,116,408,495,130,242,1105,51,49,1,2573, , 
2017,절도,41162,1209,1340,8255,4119,670,1809,564,335,744,282,247,990,20598, , 
2017,폭력,59399,2954,3303,22677,789,346,2758,1068,330,509,419,222,30,23994, , 
2018,살인,143,29,40,24,3,3,8,6,1,1,1, , ,27, , 
2018,강도,143,10,16,42,27,10,4,6,1,1, , ,2,24, , 
2018,강간강제,6412,441,538,978,170,553,851,114,280,968,57,60,6,1396, , 
2018,절도,39175,1907,2020,9087,6990,1249,3231,721,531,1001,613,296,1302,10227, , 
2018,폭력,56075,5295,5536,22241,1445,595,5262,1507,642,1139,481,278,65,11589, , 
2019,살인,136,25,36,26,1,7,9,4, , ,2, , ,26, , 
2019,강도,136,7,12,36,22,7,19,4,1,3,2, ,1,22, , 
2019,강간강제,6469,533,552,946,178,528,968,128,255,966,54,49,3,1309, , 
2019,절도,42204,2455,2163,10198,8464,1297,3481,626,593,1156,649,363,1104,9655, , 
2019,폭력,54723,5979,5994,21089,1427,558,5248,1441,675,1233,541,273,91,10174, , 
