읍면동명,세대수,내외국인_남자 인구,내외국인_여자 인구,내국인_주민등록_남자 인구,내국인_주민등록_여자 인구,외국인_출입국등록신고_남자,외국인_출입국등록신고_여자,등록기준일자
문산읍,3563,4569,4352,4400,4255,169,97,2019-12-31
내동면,1663,2249,2225,2163,2187,86,38,2019-12-31
정촌면,1828,2430,2065,2133,2028,297,37,2019-12-31
금곡면,1244,1180,1277,1139,1249,41,28,2019-12-31
진성면,1089,1089,1061,1010,1054,79,7,2019-12-31
일반성면,1368,1397,1479,1358,1463,39,16,2019-12-31
이반성면,982,870,869,807,847,63,22,2019-12-31
사봉면,885,1029,806,787,798,242,8,2019-12-31
지수면,862,843,795,781,785,62,10,2019-12-31
대곡면,1795,1913,1823,1707,1763,206,60,2019-12-31
금산면,7843,11278,11343,11234,11273,44,70,2019-12-31
집현면,2154,2570,2576,2553,2548,17,28,2019-12-31
미천면,939,850,904,835,890,15,14,2019-12-31
명석면,2135,2210,2239,2172,2211,38,28,2019-12-31
대평면,589,562,621,561,604,1,17,2019-12-31
수곡면,1253,1168,1259,1142,1208,26,51,2019-12-31
천전동,13172,14996,15319,14937,15208,59,111,2019-12-31
성북동,6200,5774,5980,5737,5917,37,63,2019-12-31
중앙동,6442,6105,6424,6065,6355,40,69,2019-12-31
상봉동,7477,7634,8027,7605,7968,29,59,2019-12-31
상대동,10075,11168,11180,10848,10987,320,193,2019-12-31
하대동,11197,13987,13895,13891,13751,96,144,2019-12-31
상평동,5559,7030,6374,6473,6275,557,99,2019-12-31
초장동,7808,12155,11773,12132,11741,23,32,2019-12-31
평거동,10930,14033,15111,14003,15053,30,58,2019-12-31
신안동,5298,6119,6638,6103,6604,16,34,2019-12-31
이현동,5302,6606,6700,6597,6671,9,29,2019-12-31
판문동,8103,10984,11892,10929,11829,55,63,2019-12-31
가호동,9928,11409,11265,10944,10848,465,417,2019-12-31
충무공동,7470,10297,10319,10275,10296,22,23,2019-12-31
