"행정구역(시군구)별",2021. 09
"전국",23383689
"서울특별시",4421143
"종로구",73652
"중구",63267
"용산구",111177
"성동구",134620
"광진구",167438
"동대문구",167591
"중랑구",185497
"성북구",195099
"강북구",144573
"도봉구",138582
"노원구",217269
"은평구",214181
"서대문구",143712
"마포구",179541
"양천구",181281
"강서구",270389
"구로구",180424
"금천구",116545
"영등포구",186360
"동작구",184825
"관악구",276182
"서초구",171497
"강남구",234218
"송파구",282018
"강동구",201205
"부산광역시",1540342
"중구",23878
"서구",53097
"동구",46046
"영도구",54701
"부산진구",173279
"동래구",115356
"남구",117793
"북구",122950
"해운대구",172237
"사하구",139174
"금정구",107990
"강서구",60878
"연제구",92451
"수영구",85573
"사상구",98505
"기장군",76434
"대구광역시",1062536
"중구",38164
"동구",157218
"서구",82789
"남구",76607
"북구",189803
"수성구",171605
"달서구",235505
"달성군",110845
"인천광역시",1290829
"중구",70171
"중구영종출장소",0
"중구용유출장소",0
"동구",28973
"미추홀구",192332
"연수구",155816
"남동구",227628
"부평구",213128
"계양구",126668
"서구",229709
"서구검단출장소",0
"강화군",34374
"옹진군",12030
"광주광역시",642726
"동구",51994
"서구",132468
"남구",94824
"북구",195081
"광산구",168359
"대전광역시",661948
"동구",107763
"중구",107704
"서구",212915
"유성구",154407
"대덕구",79159
"울산광역시",481483
"중구",93590
"남구",138660
"동구",66167
"북구",85073
"울주군",97993
"세종특별자치시",150841
"세종시",150841
"경기도",5809524
"수원시",516103
"장안구",117635
"권선구",156377
"팔달구",91100
"영통구",150991
"성남시",408567
"수정구",114051
"중원구",101062
"분당구",193454
"의정부시",205101
"안양시",223835
"만안구",102917
"동안구",120918
"부천시",346511
"광명시",120366
"평택시",257722
"송탄출장소",0
"안중출장소",0
"동두천시",44036
"안산시",291488
"상록구",156244
"단원구",135244
"고양시",455501
"덕양구",208899
"일산동구",128441
"일산서구",118161
"과천시",25783
"구리시",80862
"남양주시",295597
"풍양출장소",0
"오산시",101764
"시흥시",219365
"군포시",113001
"의왕시",65617
"하남시",135975
"용인시",428819
"처인구",114872
"기흥구",173275
"수지구",140672
"파주시",208777
"이천시",101740
"안성시",88679
"김포시",199838
"화성시",367918
"화성시동부출장소",0
"화성시동탄출장소",0
"광주시",166840
"양주시",101796
"포천시",73011
"여주시",52458
"연천군",21955
"가평군",31785
"양평군",58714
"강원도",742196
"춘천시",128894
"원주시",163394
"강릉시",102629
"동해시",42636
"태백시",20842
"속초시",40418
"삼척시",33336
"홍천군",34145
"횡성군",23516
"영월군",21102
"평창군",21548
"정선군",19679
"철원군",20902
"화천군",12599
"양구군",10677
"인제군",16261
"고성군",14863
"양양군",14755
"충청북도",756520
"청주시",385294
"상당구",84084
"서원구",88854
"흥덕구",123290
"청원구",89066
"충주시",99202
"제천시",64497
"보은군",16951
"옥천군",24904
"영동군",23804
"증평군",17710
"진천군",41046
"괴산군",20980
"음성군",47052
"단양군",15080
"충청남도",997516
"천안시",296410
"동남구",116566
"서북구",179844
"공주시",51353
"보령시",49331
"아산시",144786
"서산시",81029
"논산시",57957
"계룡시",16932
"당진시",79070
"금산군",25859
"부여군",33264
"서천군",26668
"청양군",16312
"홍성군",46648
"예산군",38985
"태안군",32912
"전라북도",846204
"전주시",291388
"완산구",151703
"덕진구",139685
"전주시효자출장소",0
"군산시",121689
"익산시",129974
"익산시함열출장소",0
"정읍시",54266
"남원시",39619
"김제시",42398
"완주군",43869
"진안군",13473
"무주군",12776
"장수군",11566
"임실군",14825
"순창군",14002
"고창군",28762
"부안군",27597
"전라남도",900110
"목포시",102918
"여수시",127713
"순천시",123977
"나주시",59057
"광양시",66311
"담양군",24679
"곡성군",15539
"구례군",13323
"고흥군",35304
"보성군",22521
"화순군",31831
"장흥군",20170
"강진군",18620
"해남군",35303
"영암군",28068
"무안군",42226
"함평군",17877
"영광군",26986
"장성군",23107
"완도군",26083
"진도군",16636
"신안군",21861
"경상북도",1271864
"포항시",230831
"남구",108629
"북구",122202
"경주시",122973
"김천시",68026
"안동시",77504
"구미시",182378
"영주시",50024
"영천시",53437
"상주시",48774
"문경시",36807
"경산시",124332
"군위군",13075
"의성군",28784
"청송군",14066
"영양군",9012
"영덕군",19976
"청도군",22987
"고령군",16472
"성주군",23513
"칠곡군",53565
"예천군",27720
"봉화군",16862
"울진군",25475
"울릉군",5271
"경상남도",1501655
"창원시",450188
"의창구",95291
"성산구",104891
"마산합포구",83573
"마산회원구",82363
"진해구",84070
"진주시",156800
"통영시",59764
"사천시",53804
"사천남양출장소",0
"김해시",225612
"장유출장소",0
"밀양시",52916
"거제시",103703
"양산시",152549
"양산시웅상출장소",0
"의령군",14965
"함안군",31000
"창녕군",32238
"고성군",26344
"남해군",22800
"하동군",23733
"산청군",19562
"함양군",20925
"거창군",30576
"합천군",24176
"제주특별자치도",306252
"제주시",219276
"서귀포시",86976
