행정구역,합계,10세 미만,10대,20대,30대,40대,50대,60대,70세 이상
강남구,536107,35498,58335,72985,80633,98502,80803,60589,48762
강동구,469094,35584,39216,62021,73567,75787,72816,66033,44070
강북구,306093,15059,21390,43076,38506,45756,52282,47046,42978
강서구,582995,38540,44143,87524,100020,91152,85887,78939,56790
관악구,502698,21685,28335,111936,88662,68659,70498,60876,52047
광진구,355306,19215,25784,67388,57311,52597,56131,44310,32570
구로구,424582,28498,30360,56624,66502,66451,70779,59853,45515
금천구,244685,13090,14762,38117,38302,34709,44567,35526,25612
노원구,520005,31881,51651,73567,64559,84166,87461,69822,56898
도봉구,322419,17928,24882,43089,40386,47535,56372,50914,41313
동대문구,352259,20302,23667,65042,51313,50412,53418,47366,40739
동작구,397231,24184,27563,68919,63123,59065,59666,50793,43918
마포구,379984,24609,28463,66048,66040,61698,55438,40964,36724
서대문구,317699,19695,23589,55013,46241,47158,49470,39682,36851
서초구,422174,32809,45094,54256,62206,76834,63508,48353,39114
성동구,295767,20072,19597,47174,48927,44769,47475,37487,30266
성북구,443206,28647,37082,71568,60918,69539,69700,56280,49472
송파구,664341,48804,58022,93069,108944,108532,102533,86586,57851
양천구,454288,30823,50117,59189,57520,78412,76898,59707,41622
영등포구,402375,27067,24738,60772,73765,60177,64768,50658,40430
용산구,240665,14438,16199,35830,41885,37721,38462,29622,26508
은평구,479409,28809,37976,67142,68435,75762,77515,66225,57545
종로구,155106,7514,11029,27698,21005,22460,25943,20595,18862
중구,132259,6994,7098,21394,21758,19015,21559,18327,16114
중랑구,394679,22354,26136,56589,58302,57167,69063,60087,44981
