지역,관할구,시점,1인가구,주택_계,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택,주택외거처
경기도,수원시권선구,2017,71066,67216,35884,18714,820,9858,1940,3850
경기도,수원시권선구,2018,75928,71630,35576,22280,892,11094,1788,4298
경기도,수원시권선구,2019,78706,73642,35240,23350,1032,12202,1818,5064
경기도,수원시영통구,2017,69836,54372,28618,22256,440,1620,1438,15464
경기도,수원시영통구,2018,75724,56736,28306,24642,438,1768,1582,18988
경기도,수원시영통구,2019,82598,62520,29090,29100,688,2032,1610,20078
경기도,수원시장안구,2017,53974,51460,28498,11216,816,9324,1606,2514
경기도,수원시장안구,2018,52944,50278,26072,11996,868,10030,1312,2666
경기도,수원시장안구,2019,57010,54594,28418,12574,804,11178,1620,2416
경기도,수원시팔달구,2017,55146,45814,24062,10594,822,8774,1562,9332
경기도,수원시팔달구,2018,54628,44282,21800,11096,854,8932,1600,10346
경기도,수원시팔달구,2019,56396,45806,20890,12562,1352,9232,1770,10590
경상남도,진주시,2017,83246,79634,53552,21370,534,1658,2520,3612
경상남도,진주시,2018,84280,80556,52184,23858,534,1580,2400,3724
경상남도,진주시,2019,88006,84232,52224,27368,604,1576,2460,3774
경상남도,창원시마산합포구,2017,43038,37874,24324,11308,652,590,1000,5164
경상남도,창원시마산합포구,2018,43806,38548,24160,12236,702,562,888,5258
경상남도,창원시마산합포구,2019,46766,41144,25792,13114,730,586,922,5622
경상남도,창원시마산회원구,2017,40330,37458,22516,11650,1242,1242,808,2872
경상남도,창원시마산회원구,2018,40138,37016,21232,12506,1288,1224,766,3122
경상남도,창원시마산회원구,2019,40662,37660,20736,13598,1362,1268,696,3002
경상남도,창원시성산구,2017,37022,29686,13626,15584,70,19,384,7336
경상남도,창원시성산구,2018,38814,30774,13016,17250,86,26,396,8040
경상남도,창원시성산구,2019,40226,32158,12968,18728,78,17,364,8068
경상남도,창원시의창구,2017,52970,50546,35858,12030,606,1208,844,2424
경상남도,창원시의창구,2018,53874,51150,34576,13648,626,1434,866,2724
경상남도,창원시의창구,2019,56270,53460,34070,16774,688,1152,776,2810
경상남도,창원시진해구,2017,38044,36780,21256,12810,1210,1140,364,1264
경상남도,창원시진해구,2018,39928,38780,21122,14990,1208,1110,350,1148
경상남도,창원시진해구,2019,41924,40742,20994,16876,1310,1196,366,1182
서울특별시,강남구,2017,125548,106928,38518,39308,2148,22668,4286,18620
서울특별시,강남구,2018,125454,105614,38076,37228,2090,23776,4444,19840
서울특별시,강남구,2019,132146,110102,38574,39386,2132,25526,4484,22044
서울특별시,강동구,2017,82100,71834,37126,16830,738,14532,2608,10266
서울특별시,강동구,2018,84252,73392,36636,16962,782,16392,2620,10860
서울특별시,강동구,2019,90376,79032,37322,19686,704,18506,2814,11344
서울특별시,강북구,2017,78164,72862,40742,11908,1772,16588,1852,5302
서울특별시,강북구,2018,81744,76040,41836,12416,1786,18168,1834,5704
서울특별시,강북구,2019,85582,79686,42980,13986,1810,19000,1910,5896
서울특별시,강서구,2017,136474,100408,31984,39936,1598,25138,1752,36066
서울특별시,강서구,2018,146022,105750,31936,42442,1646,27926,1800,40272
서울특별시,강서구,2019,158742,113956,32894,46082,1808,31244,1928,44786
서울특별시,관악구,2017,213730,176814,113270,21980,2124,21758,17682,36916
서울특별시,관악구,2018,225466,187040,118318,23616,2190,23484,19432,38426
서울특별시,관악구,2019,239726,200918,129116,23666,2250,25088,20798,38808
서울특별시,광진구,2017,109732,98606,68052,7024,1132,17670,4728,11126
서울특별시,광진구,2018,112674,100500,68050,7182,1170,19310,4788,12174
서울특별시,광진구,2019,117428,104690,68714,8284,1114,21714,4864,12738
서울특별시,구로구,2017,85968,63098,29066,20034,2310,9810,1878,22870
서울특별시,구로구,2018,88302,65172,28392,22084,2470,10496,1730,23130
서울특별시,구로구,2019,95480,70416,29070,25222,2770,11518,1836,25064
서울특별시,금천구,2017,65856,51222,29900,9782,1266,8158,2116,14634
서울특별시,금천구,2018,69128,54502,29404,12356,1242,9626,1874,14626
서울특별시,금천구,2019,75556,57188,30474,11920,1422,11302,2070,18368
서울특별시,노원구,2017,98530,93940,23474,59132,1280,8328,1726,4590
서울특별시,노원구,2018,102560,97686,23578,62230,1278,8858,1742,4874
서울특별시,노원구,2019,106730,101920,23220,66146,1402,9264,1888,4810
서울특별시,도봉구,2017,58938,54288,23698,17940,1178,10360,1112,4650
서울특별시,도봉구,2018,61696,56820,23530,19474,1252,11490,1074,4876
서울특별시,도봉구,2019,65306,59794,24274,20748,1308,12262,1202,5512
서울특별시,동대문구,2017,108060,92646,57822,19276,1258,9426,4864,15414
서울특별시,동대문구,2018,111186,95830,58054,21406,1244,10468,4658,15356
서울특별시,동대문구,2019,116304,100042,58382,23924,1388,11256,5092,16262
서울특별시,동작구,2017,108710,101026,60906,17556,1522,16932,4110,7684
서울특별시,동작구,2018,113744,105494,63154,18122,1592,18100,4526,8250
서울특별시,동작구,2019,120176,111988,66444,19634,1786,19442,4682,8188
서울특별시,마포구,2017,108324,91072,41898,21664,1296,22574,3640,17252
서울특별시,마포구,2018,113674,92234,41524,22036,1326,23818,3530,21440
서울특별시,마포구,2019,118496,95286,41854,23506,1298,25190,3438,23210
서울특별시,서대문구,2017,86836,78072,43176,15834,2012,14270,2780,8764
서울특별시,서대문구,2018,89590,80422,43536,16522,2150,15216,2998,9168
서울특별시,서대문구,2019,92898,83482,43318,17914,2208,17014,3028,9416
서울특별시,서초구,2017,79404,68486,27076,21766,1378,15278,2988,10918
서울특별시,서초구,2018,82274,70180,26404,23094,1480,16262,2940,12094
서울특별시,서초구,2019,85334,71926,26202,23914,1472,17488,2850,13408
서울특별시,성동구,2017,78134,69378,38366,21410,512,6012,3078,8756
서울특별시,성동구,2018,81412,71956,39148,22320,610,6638,3240,9456
서울특별시,성동구,2019,82976,72974,38018,24334,568,6910,3144,10002
서울특별시,성북구,2017,108486,99044,56848,20498,2262,13906,5530,9442
서울특별시,성북구,2018,110272,100702,56654,21406,2280,14914,5448,9570
서울특별시,성북구,2019,115664,106178,57186,24336,2412,16610,5634,9486
서울특별시,송파구,2017,117696,99404,32428,24442,1262,37570,3702,18292
서울특별시,송파구,2018,126902,104466,31824,26258,1318,41396,3670,22436
서울특별시,송파구,2019,137722,112812,32690,29018,1446,45734,3924,24910
서울특별시,양천구,2017,66176,60574,24878,17540,1280,15730,1146,5602
서울특별시,양천구,2018,68608,62866,24194,18630,1422,17432,1188,5742
서울특별시,양천구,2019,72690,66578,24616,19952,1444,19390,1176,6112
서울특별시,영등포구,2017,102302,70472,37224,21300,630,8200,3118,31830
서울특별시,영등포구,2018,106954,72786,37160,22278,642,9410,3296,34168
서울특별시,영등포구,2019,116428,77934,38626,24116,688,10712,3792,38494
서울특별시,용산구,2017,66152,58640,33660,12234,1432,10054,1260,7512
서울특별시,용산구,2018,68480,59712,33924,12328,1480,10810,1170,8768
서울특별시,용산구,2019,70296,60526,33564,12324,1542,11908,1188,9770
서울특별시,은평구,2017,93070,81230,34630,13974,1702,28878,2046,11840
서울특별시,은평구,2018,97776,84740,34504,14856,1814,31442,2124,13036
서울특별시,은평구,2019,105628,90702,35852,17422,1814,33540,2074,14926
서울특별시,종로구,2017,47276,38520,22468,5984,1774,6558,1736,8756
서울특별시,종로구,2018,50652,41266,24810,6028,1754,6726,1948,9386
서울특별시,종로구,2019,49342,40036,22708,6672,1854,6952,1850,9306
서울특별시,중구,2017,40328,32222,14362,11346,602,4204,1708,8106
서울특별시,중구,2018,41606,33044,14322,11750,674,4624,1674,8562
서울특별시,중구,2019,44156,34756,14338,13178,690,4900,1650,9400
서울특별시,중랑구,2017,95086,88976,58060,14940,1546,11624,2806,6110
서울특별시,중랑구,2018,98414,91880,57692,16024,1668,13574,2922,6534
서울특별시,중랑구,2019,104392,97198,59034,17772,1780,15384,3228,7194
